구별,인구수,한국인,외국인,고령자,CCTV수
종로구,161984,151217,10767,28073,1002
중구,136469,126175,10294,23794,671
용산구,246165,229579,16586,39439,1624
성동구,307193,299042,8151,44728,1062
광진구,365990,350417,15573,48989,707
동대문구,362793,346156,16637,60367,1294
중랑구,400678,395619,5059,66764,660
성북구,454532,442494,12038,72172,1464
강북구,316750,312985,3765,61660,748
도봉구,333495,331238,2257,60023,485
노원구,535495,531037,4458,82682,1265
은평구,482509,478019,4490,82245,1873
서대문구,325875,312642,13233,53038,962
마포구,386086,374570,11516,53283,574
양천구,460532,456339,4193,62761,2034
강서구,595703,589302,6401,85992,884
구로구,438308,405837,32471,67432,1561
금천구,251370,232583,18787,38508,1015
영등포구,404766,371903,32863,59373,904
동작구,407802,395014,12788,63378,1091
관악구,516662,499374,17288,76664,1496
서초구,434801,430568,4233,58332,1930
강남구,549898,544804,5094,72602,2780
송파구,680883,674095,6788,89539,618
강동구,457042,452646,4396,66401,773
